ID;NAMA;DUSUN;DESA;KECAMATAN;JENIS;STATUS;POTENSI;X;Y;SURVEYOR;REFERENSI
1;Bodeh;;;;Vertikal;Unexplored;;474047;9110162;BCRA;Ground Water Resource 82-83
2;Ceblok;;;;Vertikal;Mapped;Hidrologi;461559;9112875;BCRA;Ground Water Resource 82-83
3;Goplak;;;;Vertikal;Mapped;;453978;9106899;BCRA;Ground Water Resource 82-83
4;Karangwetan;;;;Horisontal;Visited;;451562;9109970;BCRA;Ground Water Resource 82-83
5;Bendo;;;;Vertikal;Unexplored;;466098;9111714;BCRA;Ground Water Resource 82-83
6;Karang;;;;Vertikal;Unexplored;;465753;9111309;BCRA;Ground Water Resource 82-83
7;Karanglampar;;;;Vertikal;Unexplored;;466032;9111484;BCRA;Ground Water Resource 82-83
8;Jurangjero;;;;Vertikal;Mapped;Hidrologi;466983;9111077;BCRA;Ground Water Resource 82-83
9;Kenteng;;;;Vertikal;Mapped;;462177;9100273;BCRA;Ground Water Resource 82-83
10;Jomblang;;;;Vertikal;Mapped;;461626;9103241;BCRA;Ground Water Resource 82-83
11;Song Gupit;;;;Vertikal;Visited;;461048;9103836;BCRA;Ground Water Resource 82-83
12;Sumbring;;;;Vertikal;Visited;;461349;9104836;BCRA;Ground Water Resource 82-83
13;Balong U;;;;Vertikal;Visited;Hidrologi;461078;9103150;BCRA;Ground Water Resource 82-83
14;Balong B;;;;Vertikal;Visited;;461220;9102983;BCRA;Ground Water Resource 82-83
15;Sumberejo;;;;Vertikal;Visited;;461334;9102742;BCRA;Ground Water Resource 82-83
16;Blekonang;;;;Vertikal;Mapped;;460843;9102502;BCRA;Ground Water Resource 82-83
17;Gesik;;;;Vertikal;Visited;;460370;9103022;BCRA;Ground Water Resource 82-83
18;Bentar;;;;Vertikal;Visited;;459915;9107847;BCRA;Ground Water Resource 82-83
19;Ngrapah;;;;Horisontal;Visited;;458954;9107728;BCRA;Ground Water Resource 82-83
20;Glesung;;;;Vertikal;Mapped;;458787;9111233;BCRA;Ground Water Resource 82-83
21;Jomblang;;;;Vertikal;Unexplored;;458094;9111154;BCRA;Ground Water Resource 82-83
22;Macanmati;;;;Vertikal;Unexplored;;457506;9111075;BCRA;Ground Water Resource 82-83
23;Nglibeng;;;;Vertikal;Visited;;456486;9106637;BCRA;Ground Water Resource 82-83
24;Kerwo;;;;Vertikal;Visited;;457454;9106290;BCRA;Ground Water Resource 82-83
25;Jomblang;;;;Vertikal;Visited;;457588;9105807;BCRA;Ground Water Resource 82-83
26;Jurug;;;;Horisontal;Visited;;456675;9107470;BCRA;Ground Water Resource 82-83
27;Karang;;;;Vertikal;Visited;;457410;9105104;BCRA;Ground Water Resource 82-83
28;Tabuhan;;;;Vertikal;Mapped;Hidrologi;457522;9108246;BCRA;Ground Water Resource 82-83
